trigger,Ko,Rej,Performability
5,0.00004162482842227428185632057763643311773931284292838,0.03135680189473149933693094168853629068319510384445516,0.00000333612931089356314045847033281469531046143639185
10,0.000081349320532527651945127586546657724861258691559339,0.017988562848045927227642684455500958883528710828848057,6.39889985575629493509253236335065552397804506269E-7
15,0.000119177855316059801916443696170063997952143878319968,0.013449875721747694674098103353038320755364583381878086,2.71520810782282946753133212943796643759997677738E-7
20,0.000155242906521252543763861305783529160702030520329620,0.011127902102592572373355124743733002209733613147698091,1.56282630205831754052590076862459261781875805195E-7
25,0.000189664961330894436165393022285177821669533991771281,0.009696273854029240258083748728240745312750800409485729,1.05186160181674009088679372434780172358043206195E-7
30,0.0002225537870491573767489284737152285197658613259173266,0.0087121716041883316006404200583808499916075805968515339,7.76859074001425013341473176381678875926745225606E-8
35,0.0002540095892715787400765223181172882474787674189683936,0.0079855379181835295750226459434261986707411676456077652,6.09467156495268849702209440829911117714942739043E-8
40,0.0002841240288943090874003147824998672731950744251476480,0.0074211815207340500494501046436087938091944782943707981,4.98561380365242753465671356411388902798543073973E-8
45,0.000312981113259286348709232244486010471443618742829406,0.006966104787918258647529087864471415132342137116574328,4.2040356003825971019973309147623703593346363094E-8
50,0.0003406579784082650999923605427123163772848243251818158,0.0065884229590051837597061622540009395996555042325861675,3.62688713916126020462186565500169715139827880406E-8
55,0.000367225577439959132059895382736601379001476391282662,0.006267777493695380292188248690020743486757584980049615,3.1848605275605745730161272814958157971389855429E-8
60,0.000392749287792383476040418492819918481022067342019301216,0.005990540641613145630499770011181207066939178881037524557,2.8362989936075537205539651443233120583132194127642E-8
65,0.00041728944835033189563253544614901763488024143216310869,0.00574723209842679179266302561995136229692426693151403549,2.554823951309585639988952935636015205611572439173E-8
70,0.000440901835649019672413848916249260897099358999840354530,0.005531042044825501782378295058231740866817604762824724100,2.3230001000982638691079914884859393017765873002998E-8
75,0.00046363808707691164465002488251941667934219630651753804,0.00533694443173716914759772379248651661937748143202461650,2.128883040017907909479453114381091947421060468403E-8
80,0.0004855460778320871896849372077005218719804926033295679,0.0051611423814600966216628333257669624947153753328889129,1.96403759806698516447365545459706341644767058663E-8
