trigger,Ko,Rej
5,0.00004425143143955404913057837991553668362004055009,0.00540353540307358688356815169597827375720927991702
10,0.000098104456996586471730657123855625516372098529455,0.005224445131389480304200363235527965627333501256583
15,0.0001477144881722756407808276509985607097194930667765,0.0050600331394857849943687894444849214410056604007693
20,0.0001928956412491728782100863058513864762262524116762,0.0049114823299188062581560664764901537614049908912128
25,0.0002342812154564133882746732006158433357109110695290,0.0047772641381557957653061992707009308794532170882080
30,0.00027251893690855604632742013802086917815953516881826,0.00465572058490037397516430369344561544434254440069379
35,0.0003081637356601838290674855904057218078582651426041,0.0045453786740836103838823916343529694283122124446835
40,0.0003416729178207070649603808726942793266923817578071,0.0044449591157982274467977540037112360451076540528711
45,0.0003734194654970760557052930225694558254518857419285,0.0043533428038118796953167992774273612337267757518715
50,0.0004037068644848792248525766525883279175180881473366,0.0042695394601871658541210436701998414512248799744947
55,0.0004327819851270492612042061773222464165329688085764,0.0041926641548739519030520443462664582884946785526968
60,0.0004608455819013760667324371481468731801981648520015,0.0041219203971037966373043432370445936073056893237680
65,0.0004880606943146880713855167439284923218670085410125,0.0040565878222464161612339419392228303941068278609754
70,0.000514559350031304517147286165143335364063167362088809,0.003996012962117937940591822502809474526662346387393758
75,0.00054044793425944616461740351252064998689182161191961,0.00393960208975751493216850118933388507715370342588169
80,0.0005658115215211038093035871635709885488464009529302,0.0038868154900643085909318478962687636446770430824484
85,0.0005907174010885503049113941178102917114994567221641,0.0038371627384951209644813824293066981224377884334351
90,0.0006152179739438689096748355731740605156402983060597,0.0037901987133063781643928265705681800549532681633108
95,0.00063935315714313242779694894225217035161224476214820,0.00374552015528972412605193479753268639884574087988340
100,0.000663152399307445072708912804899934178741789197782064,0.003702762644905947386348500811027472169267825558985073
105,0.0006866363863762354596399469848411794434588635847844,0.0036615979030117889628538542709999250657346379172456
110,0.000709818498220660177475089865364923673536929138549408,0.003621731346031559327539156922470522168359942058678495
115,0.00073270606253290791992262500751318380728217226520963,0.00358289984362002261939440776533193460632330511455397
120,0.000755301441665092425620208630084063845156828553586646,0.003544869639358726557014418344228243209056911102051760
125,0.00077760297995296260022758299791904880384614270662992,0.00350743440427405972067518814462523105116698192819713
130,0.00079960583280248088957537445806711247320867536896164,0.00347041339990770578978809099226460120276616199310942
135,0.000821302694065092981620153774805330988888656209802132,0.003433649732949058390603033196310943761235187315326099
140,0.0008426844346290491681769881167499923474450920141737,0.0033970086875349613067093673263876101945298508853461
145,0.0008637406623643407236371225623200891405374281170716,0.0033603761245120856569089387516677712937696498465796
150,0.000884460211527498884886748147873858186351840038604046,0.003323656939532677694134404662581908889550717938880437
155,0.0009048315681465261615133818700913022460063571457564,0.0032867735739823131032126505286594882781043255544246
160,0.0009248432367794374231813385035566331227567927275979376,0.0032496645745456946918251474412916230194793874026117838
